X,Y,FLUX,BACKGROUND
1855.9462,1074.9678,22.079638,7.292803
2352.0508,645.00476,32.775745,6.463497
3026.1604,1896.8412,32.09121,5.7716293
512.2754,1729.0924,31.558472,5.543579
1600.3987,1323.8788,30.392147,7.1509743
100.17828,1197.2916,30.48004,6.3080044
2303.9346,2217.5671,29.917837,6.902727
3516.0117,283.22018,24.847294,6.037224
1524.87,1061.6658,20.27787,7.3720455
3768.018,2395.126,30.732162,6.992874
2485.7554,729.2766,31.055296,6.4452877
159.05249,164.78561,29.7787,6.4223957
2224.1387,2094.9836,29.26933,6.925129
1253.092,1311.0345,28.222466,7.4067764
261.31488,2582.446,29.100605,6.104084
3164.9578,102.98077,24.669445,6.337885
984.9226,435.90002,20.61389,6.869356
3534.1455,1869.059,30.349678,5.392761
622.16595,179.02057,28.741848,6.410301
1494.1593,2103.0654,27.752407,6.88142
2351.9248,1532.9792,27.265928,6.3638287
706.07434,1719.0469,26.505594,5.962652
2563.323,694.2322,24.595322,6.456169
3473.6458,1020.8036,21.873953,5.816906
1246.9938,630.29364,15.449698,7.0765142
3566.1064,1555.095,29.99103,5.405096
651.19,697.00494,27.1888,6.9513817
1998.1364,2496.9883,26.058924,7.8999615
810.00275,1383.0927,25.120611,7.032877
3187.1006,1141.9546,21.413881,5.902521
1612.4979,1569.8639,20.763378,6.660656
2607.1182,229.08463,20.134697,6.69709
1476.8712,1071.7638,13.589822,7.3826475
3864.015,1629.08,29.877476,5.2625732
566.12836,1068.9872,26.39201,7.1615067
2111.386,1710.44,25.770914,6.697027
481.86816,1930.1132,24.03447,5.646023
3382.038,403.50198,21.005354,6.111494
978.06464,2323.9648,19.660858,6.697834
1991.3875,652.6681,19.05077,6.6728973
1498.1377,372.3119,13.556374,6.6448708
3218.178,2094.927,29.187775,5.893528
2392.451,1356.3129,25.39497,6.397352
706.1582,1060.7872,23.838865,7.3349953
117.762344,1835.1356,23.492176,5.599863
1471.8556,2522.9817,18.032585,7.8163643
2142.3008,95.66754,18.826862,6.6500034
3172.4229,578.6314,18.85944,6.106304
1249.409,1055.7484,12.4882555,7.437434
3738.1104,2047.0077,28.268566,5.61417
2703.111,2345.1804,23.89633,6.5385914
318.059,592.598,23.512089,6.409319
566.39825,1469.6957,20.653612,6.156334
1733.0935,2202.9211,18.390907,7.194359
3645.0662,1101.3802,18.152071,5.8537655
2452.1187,556.29083,18.124458,6.489685
1660.072,289.73218,12.761372,6.5004425
3225.999,1699.0112,25.620705,5.543743
207.36235,637.6237,22.96843,6.2800026
2371.5154,1544.3845,20.396257,6.3321056
845.64484,1745.2172,19.927141,6.3120346
1948.829,1507.2812,18.425209,6.8669987
