X,Y,FLUX,BACKGROUND
5275.5,2003.5,48.82233,23.019619
979.40173,3279.3806,47.29332,22.05822
5311.362,1199.2048,36.2763,21.520851
3807.3923,656.2288,78.43853,21.672508
3312.2725,3690.3242,70.78559,28.054924
2726.5027,2316.9805,72.58713,25.152512
2788.3618,1606.6232,56.158726,23.954845
5357.5,2631.5,44.529892,23.586777
869.66956,238.2768,44.14558,17.79858
1329.7644,3688.0427,42.471233,24.078342
4731.5,1863.5,36.104973,23.424221
3313.5,463.5,73.609,21.022438
2045.5,2753.5,64.33894,23.311516
3205.0603,3243.8936,57.458546,26.114185
1702.236,438.6918,51.23105,18.289917
4270.429,3296.4768,41.21353,26.123291
250.54948,1361.787,43.74591,17.673504
1158.9574,2108.0188,39.190147,21.490082
4321.909,1099.9567,34.838238,22.720638
3964.3145,1615.032,69.89246,23.81565
2739.0237,2345.073,58.14594,25.192158
3162.6206,2537.4314,52.196865,25.680912
1706.1418,921.51227,51.06256,20.683395
4451.5,2141.5,41.768387,24.131561
565.90173,3564.824,39.128696,22.148346
4403.713,1442.0837,34.794678,22.996113
1152.9414,1804.9125,33.575226,20.559296
3531.5,1173.5,61.456467,22.82405
2527.9443,3717.305,57.279343,25.383904
3935.2136,3235.8508,49.907738,26.807907
1929.2521,1572.9718,47.247543,22.021446
4243.9336,2615.2651,38.988987,24.822742
718.2827,2693.031,38.404972,21.510693
4741.0933,1364.9255,34.73327,22.422573
958.1628,1485.6802,33.299713,18.994156
2463.2915,2695.6443,57.41545,24.076477
2989.5,785.5,53.089005,21.405533
3753.0815,2537.0955,50.150955,25.799278
2415.5,899.5,41.344635,21.316471
4501.6753,2685.8757,37.183426,24.599464
902.9713,2025.938,37.51797,20.635937
4308.1763,1577.4681,34.57668,23.346634
433.79514,370.03442,33.270042,17.605106
2115.5,2769.5,56.37973,23.337936
4087.669,637.41034,51.52502,21.424366
3835.5,3273.5,46.642677,27.036652
2353.5,1497.5,38.997864,22.689598
5297.852,2910.3342,37.286057,23.810814
475.63135,2045.602,36.508263,19.428802
4849.065,676.9551,34.48197,20.109917
270.10394,1528.0033,33.17515,17.824707
1660.4573,2438.301,53.451683,23.159233
3535.5,3207.5,46.292034,26.732662
3508.9646,531.42444,46.233788,21.35408
2177.5,1375.5,38.403416,21.96333
4351.606,3668.017,32.407703,27.915203
29.212868,2423.7493,35.417,19.335987
4988.97,461.3763,33.505028,18.655678
328.9112,1382.9502,33.154938,17.785954
1490.7012,2934.8435,52.910614,23.011292
3118.16,2062.0054,45.86532,25.154747
3827.0818,999.7653,42.453606,22.695
2801.1475,1634.6825,35.861847,24.03381
5234.11,3365.6921,33.843735,25.141903
380.95752,1898.9286,34.571663,18.901474
5341.322,807.1567,33.43671,20.338402
818.8944,702.65204,33.127056,19.770138
2075.9922,3310.306,52.06671,24.021759
3194.8525,2371.4573,44.411892,25.61134
2831.0269,1645.2206,36.569675,24.053745
2481.684,1243.3888,35.824192,22.057682
4577.1533,3548.748,32.099236,26.80109
200.56741,1904.3456,34.368633,18.612598
5148.19,1430.071,33.137947,22.073593
1397.4735,778.1798,33.085754,19.867683
3747.5,3503.5,39.96398,27.846207
1975.6592,1879.9548,43.399826,23.00235
2931.7087,297.8957,36.570427,19.79853
4350.919,2591.1323,33.714874,24.603325
1664.1613,334.98398,34.571636,17.823273
