X,Y,FLUX,BACKGROUND
4744.1826,827.8207,25.123789,6.2303524
3286.4563,2144.6008,43.07086,7.2765274
2355.2944,1747.6652,42.58498,6.756012
1684.5293,2342.0332,39.394188,6.2579346
3149.969,867.26166,39.36653,6.3281364
893.5262,2786.7576,38.347404,5.6223755
4954.0527,3701.8186,34.713696,7.154274
737.3763,646.02075,30.973053,5.317108
5435.7944,1390.044,25.159214,5.8006783
2518.9949,1583.0598,42.132713,6.7161484
3236.0562,2119.929,38.97994,7.2694817
2287.0679,2856.9868,38.2009,5.579174
3993.5073,1077.9836,36.201073,6.9467545
1075.1367,2118.9834,36.327045,6.0488396
5459.3906,2077.6357,35.515182,5.78619
927.36334,1797.7109,29.91581,5.2763634
4875.8325,1243.893,24.775394,6.3214417
1563.6172,871.88306,41.713287,5.9362106
2003.7102,2626.0015,37.53868,5.8910675
2903.1128,18.461905,36.984535,5.5580482
3725.9675,3112.0278,33.838455,6.9464836
5221.071,2006.9672,34.672695,5.75819
469.0973,2750.1763,31.885235,5.411228
375.1785,635.9108,29.05477,4.680464
4274.2534,1835.3022,23.668129,6.383129
2579.4495,986.09955,40.574448,6.1120605
4049.8748,1066.1069,35.028996,7.022316
4200.18,3045.6868,34.342064,6.3051414
5450.033,2775.9622,33.24974,5.2262077
1205.443,2596.7532,31.86432,6.219698
2223.3062,2870.0012,31.33798,5.480528
1125.1439,1830.1917,26.305706,5.580946
5227.0767,1424.2463,23.498154,6.014944
2269.6055,921.7563,38.05163,6.4591827
3797.9165,1665.946,34.438385,6.5224
4062.9973,3332.9373,33.822674,6.6625633
4737.2197,3037.7283,33.106583,5.661026
287.56915,2495.831,31.717098,5.5071754
1811.2466,2338.2327,30.406261,6.2974434
937.1468,627.09094,26.252377,5.4824104
5432.3013,116.4726,22.623096,3.9909248
1551.9813,1357.9448,37.75195,5.696251
3771.149,765.0344,33.771683,6.7244415
3682.1306,2179.9216,33.35607,7.0780144
4995.8496,3125.9983,32.585014,5.6367455
1972.2504,3723.456,29.72379,5.870552
7.1220245,2717.0835,29.26639,4.989031
364.45288,79.51487,23.523838,4.217884
4883.493,1719.6857,20.962612,6.062731
1535.838,632.0016,35.98374,5.4018936
3061.978,1575.9531,33.665894,6.7484665
3664.0737,3289.8918,33.001675,7.158493
5479.0586,3536.0388,30.418076,7.0227814
1916.6885,3296.4417,28.9118,5.4170036
1346.8674,2189.2222,28.67671,6.17552
586.5672,703.10443,22.87455,5.175123
5222.729,973.71924,20.941849,5.9224606
1407.0657,281.07785,34.238674,4.598984
3631.9072,925.91296,33.597748,6.603668
3753.2334,2537.091,32.72643,7.0500717
5202.966,2387.9128,30.63374,5.772709
181.28195,2414.1465,28.90659,5.3753242
2277.1821,2209.926,27.09159,7.062893
266.80765,1029.0337,22.708645,4.6410503
4764.067,1018.6696,20.042027,6.4268684
3311.4197,2465.0042,32.000732,7.13995
4063.1055,1785.9084,32.471058,6.3915977
2333.2117,1319.9458,30.222046,6.3585014
5575.067,2769.9492,30.249718,5.208786
1658.9818,3091.1748,27.472456,5.502531
729.2043,2679.4075,27.471212,5.6903324
981.61487,1346.3956,22.495163,4.8376446
4318.0337,1369.974,19.621614,6.6997833
3091.865,2558.0752,31.494703,7.169016
2646.661,1329.1117,30.295626,6.264551
4783.0254,3742.0767,29.6098,6.781969
4196.7256,1870.1682,29.229374,6.358982
617.27386,3543.8042,26.607761,5.9005165
2417.0984,2859.9817,26.460243,5.8965454
882.67615,604.2642,21.619629,5.397217
5093.1035,1544.4609,19.44909,6.091223
3935.1746,3235.941,29.690592,6.8698483
5245.1924,3010.0,30.056002,5.2898273
1870.0111,1305.6649,29.815845,6.4090385
3261.1445,103.99703,29.173067,5.852377
897.28204,2071.8862,26.561108,5.7996597
2521.0952,2523.9912,25.188637,7.039383
1102.4369,545.5818,19.897842,5.306036
5351.607,344.15247,18.41,4.388426
4929.2783,3235.8372,29.594196,5.803257
4014.9988,3358.6094,28.554247,6.816065
2362.0857,1837.9564,26.968111,6.890917
3092.9888,381.7497,27.1003,6.031288
582.6404,3636.8987,26.492653,6.105217
2417.149,2201.6646,24.49885,7.252695
1222.6418,657.144,18.873568,5.486128
4653.306,1201.7527,17.74563,6.514683
5277.1714,2696.0044,29.225664,5.3621807
4103.472,2497.3013,28.687439,6.420826
373.1883,2059.0317,25.540022,5.262493
2029.1698,1733.669,24.826786,6.3258133
3739.9463,318.30438,24.420252,6.1563663
2192.9775,3071.19,24.076883,5.5620728
401.26337,996.0064,18.046898,4.911314
4467.771,1641.9542,16.85892,6.377283
2963.9744,2451.966,27.519104,7.405693
4909.0957,1938.6741,28.939522,5.935959
649.9421,2141.4802,25.283098,5.607006
2503.2896,1053.957,24.768372,6.164627
3124.9495,569.5343,22.898441,6.2198067
1613.0405,2952.818,22.523151,5.6913185
4403.9717,1441.9668,16.378548,6.5617065
1123.3309,1193.718,17.19556,5.188753
3205.2297,3243.976,27.680462,6.7828255
5449.1577,3187.8813,28.12002,5.5792637
1145.5042,1893.7046,24.135155,5.7224846
3519.51,742.46674,22.351147,6.5912
1467.2241,1609.9601,22.710003,5.649296
2277.4268,2610.6914,21.895315,6.183668
1117.2618,1555.9054,17.000484,4.9915543
5555.166,1579.706,15.935574,5.8336906
3709.2288,3637.8306,25.857338,7.9409103
4884.77,2338.9963,26.923456,5.821188
69.937416,1960.1049,24.05373,4.936739
3586.2712,747.7466,22.335907,6.6047325
1828.7988,2976.1074,22.402401,5.564583
1803.7452,1685.6658,21.779602,6.0527515
931.00214,1381.5315,16.690882,4.785816
5038.2886,19.477686,15.906635,3.7822075
4062.9143,2673.91,26.982885,6.398348
4723.5464,2878.2173,25.953672,5.60874
525.2556,3643.3064,23.8933,6.0296345
2695.7542,1577.0261,20.391695,6.782076
1690.6183,3164.921,21.288315,5.424637
4163.171,1697.3553,19.609451,6.4403343
1353.1539,1713.0742,16.467367,5.643015
4308.976,1577.1969,15.233454,6.5121613
3822.408,2851.4485,26.119959,6.6029835
4937.0493,2839.9197,25.317017,5.425581
700.8853,2979.439,22.794151,5.3649216
1548.9058,1181.8442,21.274769,5.8722687
2689.0195,3465.0427,20.315092,6.6431103
3702.3396,1793.6248,19.172901,6.620077
269.93198,1528.1016,14.797861,4.619089
4274.304,500.0047,14.384583,6.2162733
3244.5298,2175.8154,24.034285,7.2920933
5113.943,3534.1016,24.475079,6.741064
606.3799,1936.09,21.249813,5.244089
1918.298,1778.6525,20.447075,6.184536
1799.6843,2781.1643,20.251532,5.7580795
3692.0337,631.83826,19.10657,6.5839233
5513.8,1080.749,14.0173,5.680477
616.4154,948.1159,13.81439,5.382803
3567.1016,2215.955,23.191338,7.2433624
4414.0415,3486.1504,23.359634,6.517582
2171.0183,3261.9392,19.093338,5.631504
1729.9642,1183.6022,18.927088,6.293602
391.5856,2319.7024,18.593204,5.5863285
3853.3384,1236.5482,17.812368,6.6629353
4377.1987,1491.3728,13.234677,6.540454
1171.2294,472.32077,12.939218,5.086854
3323.45,2711.0325,22.730927,6.6420326
4898.0156,2283.0254,22.081043,5.825861
2556.6294,2886.1433,18.782806,6.249922
2608.7715,1463.8208,18.311184,6.5308075
435.79553,2694.0884,18.459387,5.4523754
2957.87,1771.2974,17.392925,6.987131
4727.508,734.1298,13.289722,6.028656
949.5681,450.83615,12.7708,5.083767
4082.5234,2685.4194,20.997456,6.3562965
5184.6436,2161.8442,20.917402,5.7562466
1400.2546,3680.572,18.425491,6.171791
1744.0376,2599.052,17.934223,6.196352
1856.7928,507.75754,17.32148,5.150652
4091.3894,964.0022,15.460558,7.123617
4953.3096,1140.8956,13.048618,6.2416267
607.3564,1449.5006,12.393531,4.692113
3235.7825,2202.6953,19.633215,7.301689
4437.47,2179.8093,19.782715,6.0790596
1175.541,3439.5452,18.296043,5.6623154
1766.4926,2161.2798,17.707973,6.101694
2633.407,1549.7607,15.58449,6.714983
3720.967,1430.9164,14.232397,6.5174084
5470.209,1305.9695,12.9204645,5.725135
1153.6309,736.99786,12.224326,5.652211
